"variable","varsymbol","pricesymbol"
"480","geometric (infinite) end-year net stock-engineering-0310002-current prices","",""
"481","geometric (infinite) end-year net stock-machinery and equipment-0310002-current prices","",""
"482","gross domestic product (gdp) at basic prices-3790017-1997 constant dollars","",""
"483","gross domestic product (gdp) at basic prices-3790025-current prices","",""
"484","gross domestic product (gdp) at basic prices-3790025-1997 constant dollars","",""
"485","gross domestic product (gdp) at basic price in current dollars-total economy-3790023-current prices","",""
"486","investment-total assets-0310002-chained (2007) dollars","",""
"487","investment-building-0310002-chained (2007) dollars","",""
"488","investment-engineering-0310002-chained (2007) dollars","",""
"489","investment-machinery and equipment-0310002-chained (2007) dollars","",""
"490","geometric (infinite) depreciation-total assets-0310002-chained (2007) dollars","",""
"491","geometric (infinite) depreciation-building-0310002-chained (2007) dollars","",""
"492","geometric (infinite) depreciation-engineering-0310002-chained (2007) dollars","",""
"493","geometric (infinite) depreciation-machinery and equipment-0310002-chained (2007) dollars","",""
"494","geometric (infinite) end-year net stock-total assets-0310002-chained (2007) dollars","",""
"495","geometric (infinite) end-year net stock-building-0310002-chained (2007) dollars","",""
"496","geometric (infinite) end-year net stock-engineering-0310002-chained (2007) dollars","",""
"497","geometric (infinite) end-year net stock-machinery and equipment-0310002-chained (2007) dollars","",""
"498","total salaries and wages-3010006","",""
"499","cost of materials and supplies-3010006","",""
"500","total opening inventories-3010006","",""
"501","total closing inventories-3010006","",""
"502","total number of employees-3010006","",""
"503","total cost of energy-3010006","",""
"504","manufacturing value added-3010006","",""
"505","provincial gross output at basic prices in current dollars-3810016-current prices","",""
"506","gross domestic product (gdp) at basic prices-3790025-chained (2002) dollars","",""
"507","opening inventory-total all stores-0800023","",""
"508","closing inventory-total all stores-0800023","",""
"509","goods purchased for resale-goods purchased for resale, opening inventory-0810014","",""
"510","goods purchased for resale-goods purchased for resale, closing inventory-0810014","",""
"511","gross domestic product (gdp) at basic prices-3790030-current prices","",""
"512","service-producing industries-gross domestic product (gdp) at basic prices-3790030-current prices","",""
"513","industrial production-gross domestic product (gdp) at basic prices-3790030-current prices","",""
"514","gross domestic product (gdp) at basic prices-3790030-chained (2012) dollars","",""
"515","service-producing industries-gross domestic product (gdp) at basic prices-3790030-chained (2012) dollars","",""
"516","industrial production-gross domestic product (gdp) at basic prices-3790030-chained (2012) dollars","",""
"517","gross operating surplus-3840037","COGTP",""
"518","taxes less subsidies on products and imports-3840037","NETSUB",""
"519","statistical discrepancy-3840037","",""
"520","compensation of employees-3840040","PEWFP",""
"521","plus: net mixed income-3840040","PENIR",""
"522","non-farm-3840040","",""
"523","farm-3840040","",""
"524","rental income of households-3840040","",""
"525","plus: net property income-3840040","",""
"526","property income received-3840040","PEDIR",""
"527","less: property income paid-3840040","PEDIP",""
"528","equals: primary household income-3840040","",""
"529","primary household income-3840040","",""
"530","plus: current transfers received-3840040","",""
"531","from non-profit institutions serving households-3840040","",""
"532","from corporations-3840040","",""
"533","from general governments-3840040","GCGPE",""
"534","employment insurance benefits-3840040","",""
"535","social security benefits-3840040","",""
"536","other benefits-3840040","",""
"537","from non-residents-3840040","",""
"538","less: current transfers paid-3840040","",""
"539","to non-profit institutions serving households-3840040","",""
"540","to corporations-3840040","",""
"541","to general governments-3840040","",""
"542","personal income tax-3840040","",""
"543","other current transfers-3840040","",""
"544","of which: contributions to social insurance plans-3840040","",""
"545","to non-residents-3840040","",""
"546","equals: household disposable income-3840040","",""
"547","household disposable income-3840040","PEDY!",""
"548","less: household final consumption expenditure-3840040","",""
"549","equals: household net saving-3840040","PESV",""
"550","household saving rate-3840040","PESR",""
"551","final consumption expenditure-3840038-chained (2012) dollars","",""
"552","household final consumption expenditure-3840038-chained (2012) dollars","C",""
"553","goods-3840038-chained (2012) dollars","",""
"554","durable goods-3840038-chained (2012) dollars","CD",""
"555","semi-durable goods-3840038-chained (2012) dollars","",""
"556","non-durable goods-3840038-chained (2012) dollars","CND",""
"557","services-3840038-chained (2012) dollars","CS",""
"558","non-profit institutions serving households' final consumption expenditure-3840038-chained (2012) dollars","C_NPISH",""
"559","general governments final consumption expenditure-3840038-chained (2012) dollars","GC",""
"560","gross fixed capital formation-3840038-chained (2012) dollars","",""
"561","business gross fixed capital formation-3840038-chained (2012) dollars","IPNR_BUS",""
"562","residential structures-3840038-chained (2012) dollars","IPRD",""
"563","non-residential structures, machinery and equipment-3840038-chained (2012) dollars","",""
"564","non-residential structures-3840038-chained (2012) dollars","IPNRCON",""
"565","machinery and equipment-3840038-chained (2012) dollars","IPNRME",""
"566","intellectual property products-3840038-chained (2012) dollars","IPNRIP",""
"567","non-profit institutions serving households' gross fixed capital formation-3840038-chained (2012) dollars","",""
"568","general governments gross fixed capital formation-3840038-chained (2012) dollars","GI",""
"569","investment in inventories-3840038-chained (2012) dollars","IS",""
"570","of which: business investment in inventories-3840038-chained (2012) dollars","",""
"571","non-farm-3840038-chained (2012) dollars","",""
"572","farm-3840038-chained (2012) dollars","",""
"573","exports to other countries-3840038-chained (2012) dollars","XX",""
"574","imports from other countries-3840038-chained (2012) dollars","MX",""
"575","statistical discrepancy-3840038-chained (2012) dollars","",""
"576","gross domestic product at market prices-3840038-chained (2012) dollars","GDP",""
"577","final domestic demand-3840038-chained (2012) dollars","DOMD",""
"578","final consumption expenditure-3840038-current prices","",""
"579","household final consumption expenditure-3840038-current prices","C","!"
"580","goods-3840038-current prices","",""
"581","durable goods-3840038-current prices","CD","!"
"582","semi-durable goods-3840038-current prices","",""
"583","non-durable goods-3840038-current prices","CND","!"
"584","services-3840038-current prices","CS","!"
"585","non-profit institutions serving households' final consumption expenditure-3840038-current prices","C!_NPISH",""
"586","general governments final consumption expenditure-3840038-current prices","GC","!"
"587","gross fixed capital formation-3840038-current prices","",""
"588","business gross fixed capital formation-3840038-current prices","IPNR_BUS","!"
"589","residential structures-3840038-current prices","IPRD","!"
"590","non-residential structures, machinery and equipment-3840038-current prices","",""
"591","non-residential structures-3840038-current prices","IPNRCON","!"
"592","machinery and equipment-3840038-current prices","IPNRME","!"
"593","intellectual property products-3840038-current prices","IPNRIP","!"
"594","non-profit institutions serving households' gross fixed capital formation-3840038-current prices","",""
"595","general governments gross fixed capital formation-3840038-current prices","GI","!"
"596","investment in inventories-3840038-current prices","IS","!"
"597","of which: business investment in inventories-3840038-current prices","",""
"598","non-farm-3840038-current prices","",""
"599","farm-3840038-current prices","",""
"600","exports of goods and services-3840038-current prices","X","!"
"601","exports to other countries-3840038-current prices","XX","!"
"602","exports to other provinces-3840038-current prices","XN","!"
"603","exports of goods to other provinces-3840038-current prices","XGN","!"
"604","exports of services to other provinces-3840038-current prices","XSN","!"
"605","less: imports of goods and services-3840038-current prices","M","!"
"606","imports from other countries-3840038-current prices","MX","!"
"607","imports from other provinces-3840038-current prices","MN","!"
"608","imports of goods from other provinces-3840038-current prices","MGN","!"
"609","imports of services from other provinces-3840038-current prices","MSN","!"
"610","statistical discrepancy-3840038-current prices","SD","!"
"611","gross domestic product at market prices-3840038-current prices","GDP","!"
"612","final domestic demand-3840038-current prices","DOMD","!"
"613","exports of goods and services-3840038-chained (2012) dollars","X",""
"614","exports of goods to other countries-3840038-chained (2012) dollars","XGX","!"
"615","exports of services to other countries-3840038-chained (2012) dollars","XSX",""
"616","exports to other provinces-3840038-chained (2012) dollars","XN",""
"617","exports of goods to other provinces-3840038-chained (2012) dollars","XGN",""
"618","exports of services to other provinces-3840038-chained (2012) dollars","XSN",""
"619","less: imports of goods and services-3840038-chained (2012) dollars","M",""
"620","imports of goods from other countries-3840038-chained (2012) dollars","MGX",""
"621","imports of services from other countries-3840038-chained (2012) dollars","MSX",""
"622","imports from other provinces-3840038-chained (2012) dollars","MN",""
"623","imports of goods from other provinces-3840038-chained (2012) dollars","MGN",""
"624","imports of services from other provinces-3840038-chained (2012) dollars","MSN",""
"625","exports of goods to other countries-3840038-current prices","XGX","!"
"626","exports of services to other countries-3840038-current prices","XSX","!"
"627","imports of goods from other countries-3840038-current prices","MGX","!"
"628","imports of services from other countries-3840038-current prices","MSX","!"
"629","household final consumption expenditure-implicit price indexes-3840039","PC",""
"630","general governments final consumption expenditure-implicit price indexes-3840039","PGC",""
"631","gross fixed capital formation-implicit price indexes-3840039","PIF",""
"632","residential structures-implicit price indexes-3840039","PIPRD",""
"633","non-residential structures, machinery and equipment-implicit price indexes-3840039","PIPNRC",""
"634","non-residential structures-implicit price indexes-3840039","PIPNR",""
"635","machinery and equipment-implicit price indexes-3840039","PIPNRME",""
"636","intellectual property products-implicit price indexes-3840039","PIPNRIP",""
"637","exports to other countries-implicit price indexes-3840039","PXX",""
"638","imports from other countries-implicit price indexes-3840039","PMX",""
"639","gross domestic product at market prices-implicit price indexes-3840039","PGDP",""
"640","exports of goods and services-implicit price indexes-3840039","PX",""
"641","exports of goods to other countries-implicit price indexes-3840039","PXGX",""
"642","exports of services to other countries-implicit price indexes-3840039","PXSX",""
"643","exports to other provinces-implicit price indexes-3840039","PXN",""
"644","exports of goods to other provinces-implicit price indexes-3840039","PXGN",""
"645","exports of services to other provinces-implicit price indexes-3840039","PXSN",""
"646","less: imports of goods and services-implicit price indexes-3840039","PM",""
"647","imports of goods from other countries-implicit price indexes-3840039","PMGX",""
"648","imports of services from other countries-implicit price indexes-3840039","PMSX",""
"649","imports from other provinces-implicit price indexes-3840039","PMN",""
"650","imports of goods from other provinces-implicit price indexes-3840039","PMGN",""
"651","imports of services from other provinces-implicit price indexes-3840039","PMSN",""
"652","household income-3840042","",""
"653","investment-intellectual property products-0310002-current prices","",""
"654","geometric (infinite) depreciation-intellectual property products-0310002-current prices","",""
"655","geometric (infinite) end-year net stock-intellectual property products-0310002-current prices","",""
"656","investment-intellectual property products-0310002-chained (2007) dollars","",""
"657","geometric (infinite) depreciation-intellectual property products-0310002-chained (2007) dollars","",""
"658","geometric (infinite) end-year net stock-intellectual property products-0310002-chained (2007) dollars","",""
"659","output-3810031","",""
"660","output-3810031-constant prices","",""
"661","gross domestic product (gdp) at basic prices-3790029-current prices","",""
"662","gross domestic product (gdp) at basic prices-3790029-constant prices","",""
"663","total number of jobs-3830031","",""
"664","number of employee jobs-3830031","",""
"665","hours worked for all jobs-3830031","",""
"666","hours worked for employee jobs-3830031","",""
"667","total compensation for all jobs-3830031","",""
"668","compensation of employees-3830031","",""
"669","employee's compensation per hour worked-3830031","",""
"670","residential property values-0260018","MVH",""
"671","farm product price index (fppi)-total crops-0020069","",""
"672","farm product price index (fppi)-total livestock and animal products-0020069","",""
"673","real gross output-3830032-constant prices","",""
"674","labour input-3830032","",""
"675","capital input-3830032","",""
"676","intermediate inputs-3830032","",""
"677","combined units of all inputs-3830032","",""
"678","gross output-3830032","",""
"679","investment-total non-residential-0310005-current prices","",""
"680","investment-non-residential buildings-0310005-current prices","",""
"681","investment-engineering construction-0310005-current prices","",""
"682","investment-machinery and equipment-0310005-current prices","",""
"683","investment-intellectual property products-0310005-current prices","",""
"684","geometric depreciation-total non-residential-0310005-current prices","",""
"685","geometric depreciation-non-residential buildings-0310005-current prices","",""
"686","geometric depreciation-engineering construction-0310005-current prices","",""
"687","geometric depreciation-machinery and equipment-0310005-current prices","",""
"688","geometric depreciation-intellectual property products-0310005-current prices","",""
"689","geometric end-year net stock-total non-residential-0310005-current prices","",""
"690","geometric end-year net stock-non-residential buildings-0310005-current prices","",""
"691","geometric end-year net stock-engineering construction-0310005-current prices","",""
"692","geometric end-year net stock-machinery and equipment-0310005-current prices","",""
"693","geometric end-year net stock-intellectual property products-0310005-current prices","",""
"694","investment-total non-residential-0310005-chained (2012) dollars","",""
"695","investment-non-residential buildings-0310005-chained (2012) dollars","",""
"696","investment-engineering construction-0310005-chained (2012) dollars","",""
"697","investment-machinery and equipment-0310005-chained (2012) dollars","",""
"698","investment-intellectual property products-0310005-chained (2012) dollars","",""
"699","geometric depreciation-total non-residential-0310005-chained (2012) dollars","",""
"700","geometric depreciation-non-residential buildings-0310005-chained (2012) dollars","",""
"701","geometric depreciation-engineering construction-0310005-chained (2012) dollars","",""
"702","geometric depreciation-machinery and equipment-0310005-chained (2012) dollars","",""
"703","geometric depreciation-intellectual property products-0310005-chained (2012) dollars","",""
"704","geometric end-year net stock-total non-residential-0310005-chained (2012) dollars","",""
"705","geometric end-year net stock-non-residential buildings-0310005-chained (2012) dollars","",""
"706","geometric end-year net stock-engineering construction-0310005-chained (2012) dollars","",""
"707","geometric end-year net stock-machinery and equipment-0310005-chained (2012) dollars","",""
"708","geometric end-year net stock-intellectual property products-0310005-chained (2012) dollars","",""
"709","gross operating balance-federal  government-3850033","",""
"710","net operating balance-federal  government-3850033","",""
"711","revenue-federal  government-3850033","GFREV",""
"712","taxes-federal  government-3850033","",""
"713","taxes on income, profits and capital gains-federal  government-3850033","",""
"714","taxes on income, profits and capital gains payable by individuals-federal  government-3850033","TFY",""
"715","taxes on income, profits and capital gains payable by corporations and other enterprises-federal  government-3850033","TFC",""
"716","taxes on income, profits and capital gains payable by nonresidents-federal  government-3850033","",""
"717","taxes on property-federal  government-3850033","",""
"718","taxes on goods and services-federal  government-3850033","TFX",""
"719","general taxes on goods and services-federal  government-3850033","",""
"720","excises-federal  government-3850033","",""
"721","liquor taxes-federal  government-3850033","",""
"722","tobacco taxes-federal  government-3850033","",""
"723","gasoline and motive fuel taxes-federal  government-3850033","TFXFU",""
"724","other excise taxes-federal  government-3850033","",""
"725","profits of fiscal monopolies-federal  government-3850033","",""
"726","taxes on specific services-federal  government-3850033","",""
"727","air travellers security charge-federal  government-3850033","",""
"728","other taxes on specific services-federal  government-3850033","",""
"729","taxes on use of goods and on permission to use goods or perform activities-federal  government-3850033","",""
"730","other taxes on goods and services-federal  government-3850033","",""
"731","taxes on international trade and transactions-federal  government-3850033","",""
"732","customs and other import duties-federal  government-3850033","",""
"733","taxes on exports, international trade and transactions-federal  government-3850033","",""
"734","other taxes-federal  government-3850033","",""
"735","social contributions-federal  government-3850033","TFSS",""
"736","contributions to employment insurance and other social security schemes-federal  government-3850033","",""
"737","other social contributions-federal  government-3850033","",""
"738","grants, revenue-federal  government-3850033","",""
"739","grants from foreign governments and international governmental organizations-federal  government-3850033","",""
"740","grants from general government units-federal  government-3850033","TFGRNT",""
"741","other revenue-federal  government-3850033","",""
"742","property income-federal  government-3850033","",""
"743","interest revenue-federal  government-3850033","",""
"744","dividends-federal  government-3850033","",""
"745","rent-federal  government-3850033","",""
"746","oil and gas royalties-federal  government-3850033","TFROIL",""
"747","mineral royalties-federal  government-3850033","TFRMIN",""
"748","other rent and property income-federal  government-3850033","",""
"749","sales of goods and services-federal  government-3850033","",""
"750","administrative fees-federal  government-3850033","",""
"751","other sales of goods and services-federal  government-3850033","",""
"752","fines, penalties and forfeits-federal  government-3850033","",""
"753","voluntary transfers other than grants-federal  government-3850033","",""
"754","miscellaneous revenue-federal  government-3850033","",""
"755","expense-federal  government-3850033","GFEXP",""
"756","compensation of employees-federal  government-3850033","",""
"757","use of goods and services-federal  government-3850033","",""
"758","consumption of fixed capital-federal  government-3850033","GFDEPR",""
"759","interest expense-federal  government-3850033","GFDIP",""
"760","subsidies-federal  government-3850033","",""
"761","subsidies to government business enterprises-federal  government-3850033","",""
"762","subsidies to private enterprises-federal  government-3850033","",""
"763","agricultural subsidies to private enterprises-federal  government-3850033","",""
"764","other subsidies to private enterprises on products-federal  government-3850033","",""
"765","other subsidies to private enterprises on production-federal  government-3850033","",""
"766","grants, expense-federal  government-3850033","",""
"767","grants to foreign governments and international governmental organizations-federal  government-3850033","",""
"768","grants to foreign governments-federal  government-3850033","",""
"769","grants to international governmental organizations-federal  government-3850033","",""
"770","grants to general government units-federal  government-3850033","",""
"771","social benefits-federal  government-3850033","GFGPE",""
"772","social security benefits-federal  government-3850033","",""
"773","employment insurance benefits-federal  government-3850033","",""
"774","other social security benefits-federal  government-3850033","",""
"775","social assistance benefits-federal  government-3850033","",""
"776","benefits under the old age security act-federal  government-3850033","",""
"777","family allowance and child care benefits-federal  government-3850033","",""
"778","veterans benefits-federal  government-3850033","",""
"779","other social assistance benefits-federal  government-3850033","",""
"780","employer social benefits-federal  government-3850033","",""
"781","other expense-federal  government-3850033","",""
"782","property expense other than interest-federal  government-3850033","",""
"783","miscellaneous other expense-federal  government-3850033","",""
"784","miscellaneous other current expense-federal  government-3850033","",""
"785","tax expense-federal  government-3850033","",""
"786","transfers to persons-federal  government-3850033","",""
"787","transfers to non-profit institutions-federal  government-3850033","",""
"788","other miscellaneous current expenses-federal  government-3850033","",""
"789","miscellaneous other capital expense-federal  government-3850033","",""
"790","memorandum items, total expenditures-federal  government-3850033","",""
"791","memorandum items, capitalized research and development costs-federal  government-3850033","",""
"792","memorandum items, capitalized research and development compensation of employees-federal  government-3850033","",""
"793","memorandum items, capitalized research and development use of goods and services-federal  government-3850033","",""
"794","memorandum items, tangible assets amortization expense according to public sector accounts-federal  government-3850033","",""
"795","net worth-federal  government-3850033","",""
"796","nonfinancial assets-federal  government-3850033","",""
"797","net financial worth-federal  government-3850033","",""
"798","financial assets-federal  government-3850033","",""
"799","currency and deposits, assets-federal  government-3850033","",""
"800","debt securities, assets-federal  government-3850033","",""
"801","treasury bills, assets-federal  government-3850033","",""
"802","finance and other short-term paper, assets-federal  government-3850033","",""
"803","bonds, assets-federal  government-3850033","",""
"804","loans, assets-federal  government-3850033","",""
"805","loans and advances, assets-federal  government-3850033","",""
"806","mortgages, assets-federal  government-3850033","",""
"807","equity and investment fund shares, assets-federal  government-3850033","",""
"808","marketable shares-federal  government-3850033","",""
"809","non-marketable shares and other equity-federal  government-3850033","",""
"810","investment fund shares-federal  government-3850033","",""
"811","insurance and pension, assets-federal  government-3850033","",""
"812","other accounts receivable-federal  government-3850033","",""
"813","trade credits and advances, receivable-federal  government-3850033","",""
"814","other receivable-federal  government-3850033","",""
"815","monetary gold and special drawing rights (sdr), assets-federal  government-3850033","",""
"816","liabilities-federal  government-3850033","GGDBT",""
"817","currency and deposits, liabilities-federal  government-3850033","",""
"818","debt securities, liabilities-federal  government-3850033","",""
"819","treasury bills, liabilities-federal  government-3850033","",""
"820","finance and other short-term paper, liabilities-federal  government-3850033","",""
"821","saving bonds-federal  government-3850033","",""
"822","bonds, liabilities-federal  government-3850033","",""
"823","loans, liabilities-federal  government-3850033","",""
"824","bank overdrafts-federal  government-3850033","",""
"825","loans and advances, liabilities-federal  government-3850033","",""
"826","mortgages, liabilities-federal  government-3850033","",""
"827","equity, liabilities-federal  government-3850033","",""
"828","insurance, pension and standardized guarantee schemes, liabilities-federal  government-3850033","",""
"829","pensions plans, liabilities-federal  government-3850033","",""
"830","insurance and standardized guarantee schemes, liabilities-federal  government-3850033","",""
"831","other accounts payable-federal  government-3850033","",""
"832","trade credits and advances, payable-federal  government-3850033","",""
"833","other payable-federal  government-3850033","",""
"834","monetary gold and special drawing rights (sdr), liabilities-federal  government-3850033","",""
"835","memorandum items, nonfinancial assets according to public sector accounts-federal  government-3850033","",""
"836","memorandum items, liabilities at nominal value-federal  government-3850033","",""
"837","memorandum items, employee future benefits-federal  government-3850033","",""
"838","memorandum items, environmental liabilities-federal  government-3850033","",""
"839","net operating balance-provincial and territorial governments-3850034","",""
"840","revenue-provincial and territorial governments-3850034","",""
"841","taxes on income, profits and cap gains- individuals-provincial and territorial governments-3850034","",""
"842","taxes on income, profits and cap gains- corporations and other enterprises-provincial and territorial governments-3850034","",""
"843","taxes on payroll and workforce-provincial and territorial governments-3850034","",""
"844","taxes on property-provincial and territorial governments-3850034","",""
"845","taxes on goods and services-provincial and territorial governments-3850034","",""
"846","general taxes on goods and services-provincial and territorial governments-3850034","",""
"847","gasoline and motive fuel taxes-provincial and territorial governments-3850034","",""
"848","social contributions-provincial and territorial governments-3850034","TPSS",""
"849","contributions to workers' compensation boards-provincial and territorial governments-3850034","",""
"850","grants from general government units-provincial and territorial governments-3850034","",""
"851","interest revenue-provincial and territorial governments-3850034","",""
"852","oil and gas royalties-provincial and territorial governments-3850034","",""
"853","forestry royalties-provincial and territorial governments-3850034","",""
"854","mineral royalties-provincial and territorial governments-3850034","",""
"855","water power royalties-provincial and territorial governments-3850034","",""
"856","miscellaneous revenue-provincial and territorial governments-3850034","GEOTH",""
"857","expense-provincial and territorial governments-3850034","",""
"858","consumption of fixed capital-provincial and territorial governments-3850034","",""
"859","interest expense-provincial and territorial governments-3850034","",""
"860","social benefits-provincial and territorial governments-3850034","",""
"861","miscellaneous other expense-provincial and territorial governments-3850034","TOTH",""
"862","liabilities-provincial and territorial governments-3850034","GGDBT",""
"863","currency and deposits-provincial and territorial governments-3850034","",""
"864","debt securities-provincial and territorial governments-3850034","",""
"865","loans-provincial and territorial governments-3850034","",""
"866","gross operating balance-canada pension plan (cpp)-3850038","",""
"867","net operating balance-canada pension plan (cpp)-3850038","",""
"868","revenue-canada pension plan (cpp)-3850038","",""
"869","social contributions-canada pension plan (cpp)-3850038","",""
"870","other revenue-canada pension plan (cpp)-3850038","",""
"871","property income-canada pension plan (cpp)-3850038","",""
"872","interest revenue-canada pension plan (cpp)-3850038","",""
"873","dividends-canada pension plan (cpp)-3850038","",""
"874","rent-canada pension plan (cpp)-3850038","",""
"875","sales of goods and services-canada pension plan (cpp)-3850038","",""
"876","fines, penalties and forfeits-canada pension plan (cpp)-3850038","",""
"877","voluntary transfers other than grants-canada pension plan (cpp)-3850038","",""
"878","miscellaneous revenue-canada pension plan (cpp)-3850038","",""
"879","expense-canada pension plan (cpp)-3850038","",""
"880","compensation of employees-canada pension plan (cpp)-3850038","",""
"881","use of goods and services-canada pension plan (cpp)-3850038","",""
"882","consumption of fixed capital-canada pension plan (cpp)-3850038","",""
"883","interest expense-canada pension plan (cpp)-3850038","",""
"884","social benefits-canada pension plan (cpp)-3850038","",""
"885","memorandum items, total expenditures-canada pension plan (cpp)-3850038","",""
"886","memorandum items, tangible assets amortization expense according to public sector accounts-canada pension plan (cpp)-3850038","",""
"887","net worth-canada pension plan (cpp)-3850038","",""
"888","nonfinancial assets-canada pension plan (cpp)-3850038","",""
"889","net financial worth-canada pension plan (cpp)-3850038","",""
"890","financial assets-canada pension plan (cpp)-3850038","",""
"891","currency and deposits, assets-canada pension plan (cpp)-3850038","",""
"892","debt securities, assets-canada pension plan (cpp)-3850038","",""
"893","treasury bills, assets-canada pension plan (cpp)-3850038","",""
"894","finance and other short-term paper, assets-canada pension plan (cpp)-3850038","",""
"895","bonds, assets-canada pension plan (cpp)-3850038","",""
"896","loans, assets-canada pension plan (cpp)-3850038","",""
"897","loans and advances, assets-canada pension plan (cpp)-3850038","",""
"898","mortgages, assets-canada pension plan (cpp)-3850038","",""
"899","equity and investment fund shares, assets-canada pension plan (cpp)-3850038","",""
"900","marketable shares-canada pension plan (cpp)-3850038","",""
"901","non-marketable shares and other equity-canada pension plan (cpp)-3850038","",""
"902","investment fund shares-canada pension plan (cpp)-3850038","",""
"903","insurance and pension, assets-canada pension plan (cpp)-3850038","",""
"904","other accounts receivable-canada pension plan (cpp)-3850038","",""
"905","trade credits and advances, receivable-canada pension plan (cpp)-3850038","",""
"906","other receivable-canada pension plan (cpp)-3850038","",""
"907","monetary gold and special drawing rights (sdr), assets-canada pension plan (cpp)-3850038","",""
"908","liabilities-canada pension plan (cpp)-3850038","",""
"909","currency and deposits, liabilities-canada pension plan (cpp)-3850038","",""
"910","debt securities, liabilities-canada pension plan (cpp)-3850038","",""
"911","treasury bills, liabilities-canada pension plan (cpp)-3850038","",""
"912","finance and other short-term paper, liabilities-canada pension plan (cpp)-3850038","",""
"913","saving bonds-canada pension plan (cpp)-3850038","",""
"914","bonds, liabilities-canada pension plan (cpp)-3850038","",""
"915","loans, liabilities-canada pension plan (cpp)-3850038","",""
"916","bank overdrafts-canada pension plan (cpp)-3850038","",""
"917","loans and advances, liabilities-canada pension plan (cpp)-3850038","",""
"918","mortgages, liabilities-canada pension plan (cpp)-3850038","",""
"919","equity, liabilities-canada pension plan (cpp)-3850038","",""
"920","insurance, pension and standardized guarantee schemes, liabilities-canada pension plan (cpp)-3850038","",""
"921","pensions plans, liabilities-canada pension plan (cpp)-3850038","",""
"922","insurance and standardized guarantee schemes, liabilities-canada pension plan (cpp)-3850038","",""
"923","other accounts payable-canada pension plan (cpp)-3850038","",""
"924","trade credits and advances, payable-canada pension plan (cpp)-3850038","",""
"925","other payable-canada pension plan (cpp)-3850038","",""
"926","monetary gold and special drawing rights (sdr), liabilities-canada pension plan (cpp)-3850038","",""
"927","memorandum items, nonfinancial assets according to public sector accounts-canada pension plan (cpp)-3850038","",""
"928","memorandum items, liabilities at nominal value-canada pension plan (cpp)-3850038","",""
"929","memorandum items, employee future benefits-canada pension plan (cpp)-3850038","",""
"930","memorandum items, environmental liabilities-canada pension plan (cpp)-3850038","",""
"931","gross operating balance-quebec pension plan (qpp)-3850038","",""
"932","net operating balance-quebec pension plan (qpp)-3850038","",""
"933","revenue-quebec pension plan (qpp)-3850038","GQPPREV",""
"934","social contributions-quebec pension plan (qpp)-3850038","TQPPSS",""
"935","other revenue-quebec pension plan (qpp)-3850038","",""
"936","property income-quebec pension plan (qpp)-3850038","",""
"937","interest revenue-quebec pension plan (qpp)-3850038","",""
"938","dividends-quebec pension plan (qpp)-3850038","",""
"939","rent-quebec pension plan (qpp)-3850038","",""
"940","sales of goods and services-quebec pension plan (qpp)-3850038","",""
"941","fines, penalties and forfeits-quebec pension plan (qpp)-3850038","",""
"942","voluntary transfers other than grants-quebec pension plan (qpp)-3850038","",""
"943","miscellaneous revenue-quebec pension plan (qpp)-3850038","",""
"944","expense-quebec pension plan (qpp)-3850038","TQPPEXP",""
"945","compensation of employees-quebec pension plan (qpp)-3850038","",""
"946","use of goods and services-quebec pension plan (qpp)-3850038","",""
"947","consumption of fixed capital-quebec pension plan (qpp)-3850038","GQPPDEPR",""
"948","interest expense-quebec pension plan (qpp)-3850038","GQPPDIP",""
"949","social benefits-quebec pension plan (qpp)-3850038","",""
"950","memorandum items, total expenditures-quebec pension plan (qpp)-3850038","",""
"951","memorandum items, tangible assets amortization expense according to public sector accounts-quebec pension plan (qpp)-3850038","",""
"952","net worth-quebec pension plan (qpp)-3850038","",""
"953","nonfinancial assets-quebec pension plan (qpp)-3850038","",""
"954","net financial worth-quebec pension plan (qpp)-3850038","",""
"955","financial assets-quebec pension plan (qpp)-3850038","",""
"956","currency and deposits, assets-quebec pension plan (qpp)-3850038","",""
"957","debt securities, assets-quebec pension plan (qpp)-3850038","",""
"958","treasury bills, assets-quebec pension plan (qpp)-3850038","",""
"959","finance and other short-term paper, assets-quebec pension plan (qpp)-3850038","",""
"960","bonds, assets-quebec pension plan (qpp)-3850038","",""
"961","loans, assets-quebec pension plan (qpp)-3850038","",""
"962","loans and advances, assets-quebec pension plan (qpp)-3850038","",""
"963","mortgages, assets-quebec pension plan (qpp)-3850038","",""
"964","equity and investment fund shares, assets-quebec pension plan (qpp)-3850038","",""
"965","marketable shares-quebec pension plan (qpp)-3850038","",""
"966","non-marketable shares and other equity-quebec pension plan (qpp)-3850038","",""
"967","investment fund shares-quebec pension plan (qpp)-3850038","",""
"968","insurance and pension, assets-quebec pension plan (qpp)-3850038","",""
"969","other accounts receivable-quebec pension plan (qpp)-3850038","",""
"970","trade credits and advances, receivable-quebec pension plan (qpp)-3850038","",""
"971","other receivable-quebec pension plan (qpp)-3850038","",""
"972","monetary gold and special drawing rights (sdr), assets-quebec pension plan (qpp)-3850038","",""
"973","liabilities-quebec pension plan (qpp)-3850038","",""
"974","currency and deposits, liabilities-quebec pension plan (qpp)-3850038","",""
"975","debt securities, liabilities-quebec pension plan (qpp)-3850038","",""
"976","treasury bills, liabilities-quebec pension plan (qpp)-3850038","",""
"977","finance and other short-term paper, liabilities-quebec pension plan (qpp)-3850038","",""
